detector_name,route,direction,lat,lon,lane
T3600,I-35E,SB,44.95414,-93.09293,2
2483,I-35E,SB,44.9553,-93.09124,0
2484,I-35E,SB,44.95606,-93.0912,0
T3606,I-35E,SB,44.95882,-93.09084,1
T3607,I-35E,SB,44.95882,-93.09084,2
T3608,I-35E,SB,44.95882,-93.09084,3
T3609,I-35E,SB,44.95882,-93.09084,4
2469,I-35E,SB,44.95989,-93.0909,1
2470,I-35E,SB,44.95989,-93.0909,2
2471,I-35E,SB,44.95989,-93.0909,3
2472,I-35E,SB,44.95989,-93.0909,4
7140,I-35E,SB,44.95989,-93.0909,5
2473,I-35E,SB,44.96114,-93.09094,0
2468,I-35E,SB,44.96282,-93.091,0
7138,I-35E,SB,44.96658,-93.09074,0
7139,I-35E,SB,44.96658,-93.09074,0
7135,I-35E,SB,44.96935,-93.08948,0
2462,I-35E,SB,44.97183,-93.08886,1
2463,I-35E,SB,44.97183,-93.08886,2
2464,I-35E,SB,44.97183,-93.08886,3
7136,I-35E,SB,44.97183,-93.08886,4
7137,I-35E,SB,44.97183,-93.08886,5
9152,I-35E,SB,44.97421,-93.08878,1
2454,I-35E,SB,44.97439,-93.08881,0
2455,I-35E,SB,44.97439,-93.08881,0
2461,I-35E,SB,44.97439,-93.08881,0
4529,I-35E,SB,44.97439,-93.08881,0
2458,I-35E,SB,44.97535,-93.08882,1
2459,I-35E,SB,44.97535,-93.08882,2
2460,I-35E,SB,44.97535,-93.08882,3
7134,I-35E,SB,44.97535,-93.08882,4
2457,I-35E,SB,44.97969,-93.08894,0
2456,I-35E,SB,44.98666,-93.0892,0
2516,I-35E,SB,44.98666,-93.0892,0
4528,I-35E,SB,44.98666,-93.0892,0
2450,I-35E,SB,44.98757,-93.08923,1
2451,I-35E,SB,44.98757,-93.08923,2
2452,I-35E,SB,44.98757,-93.08923,3
7548,I-35E,SB,44.98757,-93.08923,4
2447,I-35E,SB,44.99259,-93.08944,1
2448,I-35E,SB,44.99259,-93.08944,2
2449,I-35E,SB,44.99259,-93.08944,3
7549,I-35E,SB,44.99259,-93.08944,4
2446,I-35E,SB,44.99409,-93.0895,0
2509,I-35E,SB,44.99409,-93.0895,0
2445,I-35E,SB,44.99626,-93.08957,0
2453,I-35E,SB,44.99626,-93.08957,0
2508,I-35E,SB,44.99626,-93.08957,0
4527,I-35E,SB,44.99626,-93.08957,0
2442,I-35E,SB,44.99809,-93.08962,1
2443,I-35E,SB,44.99809,-93.08962,2
2444,I-35E,SB,44.99809,-93.08962,3
7550,I-35E,SB,44.99809,-93.08962,4
2438,I-35E,SB,45.00205,-93.08971,0
