detector_id,name,route,direction,lat,lon,lane
T9524,Mainline sensor,I-94,WB,44.96284,-92.74724,2
T9525,Mainline sensor,I-94,WB,44.96307,-92.73865,1
T9526,Mainline sensor,I-94,WB,44.96307,-92.73865,2
T9527,Mainline sensor,I-94,WB,44.96346,-92.72653,1
T9528,Mainline sensor,I-94,WB,44.96346,-92.72653,2
T9529,Mainline sensor,I-94,EB,44.94839,-92.98063,1
T9530,Mainline sensor,I-94,EB,44.94839,-92.98063,2
T9531,Mainline sensor,I-94,EB,44.94846,-92.97109,0
T9532,Mainline sensor,I-94,EB,44.94846,-92.97109,0
T9533,Mainline sensor,I-94,EB,44.96268,-92.75795,1
T9534,Mainline sensor,I-94,WB,44.96283,-92.75747,3
T9535,Mainline sensor,I-94,EB,44.96262,-92.74727,1
T9536,Mainline sensor,I-94,WB,44.96284,-92.74724,3
T9537,Mainline sensor,I-94,EB,44.96277,-92.73877,1
T9538,Mainline sensor,I-94,EB,44.96277,-92.73877,2
T9539,Mainline sensor,I-94,EB,44.96308,-92.72671,1
T9540,Mainline sensor,I-94,EB,44.96308,-92.72671,2
T9549,Mainline sensor,I-94,WB,44.94852,-92.98068,1
T9550,Mainline sensor,I-94,WB,44.94852,-92.98068,2
T9551,Mainline sensor,I-94,WB,44.94864,-92.97102,1
T9552,Mainline sensor,I-94,WB,44.94864,-92.97102,2
T9588,Mainline sensor,I-94,WB,44.96283,-92.75747,1
T9589,Mainline sensor,I-94,WB,44.96283,-92.75747,2
T9590,Mainline sensor,I-94,WB,44.96283,-92.75747,3
T9591,Mainline sensor,I-94,WB,44.96284,-92.74724,1
T9592,Mainline sensor,I-94,WB,44.96284,-92.74724,2
T9593,Mainline sensor,I-94,WB,44.96284,-92.74724,3
T9594,Mainline sensor,I-94,WB,44.96307,-92.73865,1
T9595,Mainline sensor,I-94,WB,44.96307,-92.73865,2
T9596,Mainline sensor,I-94,WB,44.96307,-92.73865,3
T9597,Mainline sensor,I-94,WB,44.96346,-92.72653,1
T9598,Mainline sensor,I-94,WB,44.96346,-92.72653,2
T9599,Mainline sensor,I-94,WB,44.96346,-92.72653,3
T9637,Mainline sensor,I-94,EB,44.96268,-92.75795,1
T9638,Mainline sensor,I-94,EB,44.96268,-92.75795,2
T9639,Mainline sensor,I-94,EB,44.96268,-92.75795,3
T9650,Mainline sensor,I-94,WB,45.27168,-93.72888,1
T9651,Mainline sensor,I-94,WB,45.27168,-93.72888,2
T9652,Mainline sensor,I-94,WB,45.27917,-93.74314,1
T9653,Mainline sensor,I-94,WB,45.27917,-93.74314,2
T9654,Mainline sensor,I-94,WB,45.29615,-93.78661,1
T9655,Mainline sensor,I-94,WB,45.29615,-93.78661,2
T9656,Mainline sensor,I-94,WB,45.29615,-93.78661,3
V3533,Mainline sensor,I-94,EB,44.95161,-93.12235,0
