detector_id,name,route,direction,lat,lon,lane
88,Mainline sensor,I-94,EB,45.03447,-93.28701,3
89,Mainline sensor,I-94,EB,45.03447,-93.28701,4
407,Mainline sensor,I-94,EB,44.97006,-93.28771,1
408,Mainline sensor,I-94,EB,44.97006,-93.28771,2
409,Mainline sensor,I-94,EB,44.97006,-93.28771,3
414,Mainline sensor,I-94,EB,44.96594,-93.27855,2
415,Mainline sensor,I-94,EB,44.96594,-93.27855,3
416,Mainline sensor,I-94,EB,44.96812,-93.28801,1
417,Mainline sensor,I-94,EB,44.96812,-93.28801,2
418,Mainline sensor,I-94,EB,44.96812,-93.28801,3
419,Mainline sensor,I-94,EB,44.96594,-93.27855,4
425,Mainline sensor,I-94,EB,44.96556,-93.28797,1
426,Mainline sensor,I-94,EB,44.96556,-93.28797,2
427,Mainline sensor,I-94,EB,44.96556,-93.28797,3
431,Mainline sensor,I-94,EB,44.9646,-93.28686,1
432,Mainline sensor,I-94,EB,44.9646,-93.28686,2
433,Mainline sensor,I-94,EB,44.9646,-93.28686,3
468,Mainline sensor,I-94,EB,45.05816,-93.28724,1
469,Mainline sensor,I-94,EB,45.05816,-93.28724,2
470,Mainline sensor,I-94,EB,45.05816,-93.28724,3
471,Mainline sensor,I-94,EB,45.05816,-93.28724,4
476,Mainline sensor,I-94,EB,45.0648,-93.28621,1
477,Mainline sensor,I-94,EB,45.0648,-93.28621,2
478,Mainline sensor,I-94,EB,45.0648,-93.28621,3
479,Mainline sensor,I-94,EB,45.0648,-93.28621,4
497,Mainline sensor,I-94,EB,44.96623,-93.27122,1
498,Mainline sensor,I-94,EB,44.96623,-93.27122,2
499,Mainline sensor,I-94,EB,44.96623,-93.27122,3
507,Mainline sensor,I-94,EB,45.05131,-93.2854,1
508,Mainline sensor,I-94,EB,45.05131,-93.2854,2
509,Mainline sensor,I-94,EB,45.05131,-93.2854,3
510,Mainline sensor,I-94,EB,45.05131,-93.2854,4
599,Mainline sensor,I-94,EB,45.06835,-93.28779,1
600,Mainline sensor,I-94,EB,45.06835,-93.28779,2
601,Mainline sensor,I-94,EB,45.03968,-93.28524,1
602,Mainline sensor,I-94,EB,45.03968,-93.28524,2
603,Mainline sensor,I-94,EB,45.03968,-93.28524,3
604,Mainline sensor,I-94,EB,45.03968,-93.28524,4
